Plant_ID,Height_cm,Leaf_Count,New_Growth_Count,Health_Notes,Watering_Amount_ml,Watering_Frequency_days,Sunlight_Exposure,Room_Temperature_C,Humidity_%,Fertilizer_Type,Fertilizer_Amount_ml,Pest_Presence,Pest_Severity,Soil_Moisture_%,Soil_Type,Health_Score
Aglaonema commutatum,27.32,43,9,Dark green color,133,1,Low light corner,20.7,66.1,Liquid feed,7,Fungus gnats,Low,32.3,Chalky,1
Spathiphyllum wallisii,34.14,16,4,Wilting,291,2,6h full sun,29.4,39.5,Liquid feed,49,Whiteflies,Moderate,25.4,Chalky,2
Nephrolepis exaltata,13.59,21,5,Wilting,330,6,6h full sun,21.4,52.1,Compost,79,Spider mites,Moderate,40.4,Peaty,2
Anthurium andraeanum,25.07,46,3,New bud,372,6,Indirect light all day,22,33.6,None,37,Spider mites,Low,19.3,Silty,3
Nephrolepis exaltata,29.52,34,9,Dark green color,301,2,Indirect light all day,21.1,49.5,Compost,9,Fungus gnats,High,41.3,Chalky,4
Tradescantia zebrina,14.25,33,5,New bud,239,4,Low light corner,29.4,67.1,Chemical,41,Fungus gnats,Low,18.7,Sandy,5
Aloe vera,27.1,23,6,None,488,5,3h direct morning sun,25.7,49.3,Organic,36,Spider mites,Low,13.2,Chalky,4
Philodendron hederaceum,41.87,15,8,Dark green color,479,1,Filtered sunlight through curtain,21.2,46.5,Organic,25,Aphids,None,26.5,Peaty,2
Sansevieria cylindrica,30.59,38,9,Leaf drop,201,1,Filtered sunlight through curtain,27.3,59.8,None,91,Aphids,None,21.6,Clay,5
Aloe vera,34.18,11,6,New bud,351,1,3h direct morning sun,24.6,73.6,Compost,11,Whiteflies,Low,54.4,Silty,4
Ficus lyrata,0.48,48,5,New bud,327,2,3h direct morning sun,24.8,32.4,Liquid feed,83,Spider mites,None,12.7,Silty,4
Sansevieria cylindrica,40.58,38,0,New bud,188,4,6h full sun,23,49.3,Liquid feed,48,Spider mites,Low,18.8,Loamy,5
Spathiphyllum wallisii,23.14,24,1,Brittle leaves,225,3,Filtered sunlight through curtain,21.8,37.9,Liquid feed,13,Spider mites,None,37.4,Chalky,2
Chlorophytum comosum,17.31,42,0,Strong stem,57,6,Low light corner,25,64.8,Chemical,45,Spider mites,Moderate,34.1,Silty,4
Peperomia obtusifolia,23.25,28,8,New bud,344,2,Indirect light all day,22.4,35.3,Chemical,34,Fungus gnats,None,12.3,Sandy,5
Peperomia obtusifolia,10.15,14,9,None,284,3,6h full sun,29.5,63.2,Liquid feed,28,None,None,10.4,Clay,2
Monstera deliciosa,35.48,36,9,Yellowing leaves,212,6,Filtered sunlight through curtain,20.2,44.3,None,11,Spider mites,Moderate,59.4,Sandy,5
Ficus lyrata,21.65,19,8,Yellowing leaves,98,6,3h direct morning sun,28.6,39.9,Chemical,81,None,Low,42.9,Chalky,5
Dieffenbachia seguine,17.61,41,6,Dark green color,351,4,Filtered sunlight through curtain,23.7,76.8,Chemical,43,Aphids,None,28.3,Peaty,4
Philodendron hederaceum,23.32,24,1,Leaf drop,87,5,Low light corner,24.9,30.9,Organic,65,Whiteflies,None,33.5,Loamy,2
Aloe vera,36.18,7,5,Strong stem,185,1,6h full sun,26.5,51.9,Organic,1,Aphids,Moderate,23.3,Loamy,4
Aloe vera,26.31,41,3,Brittle leaves,359,3,3h direct morning sun,22.1,31.1,None,58,Spider mites,Moderate,27.2,Clay,1
Schefflera arboricola,10.9,44,0,Dark green color,470,2,Low light corner,26.6,54.2,Chemical,16,Aphids,Moderate,42.5,Silty,1
Sansevieria cylindrica,29.65,12,0,Yellowing leaves,268,3,Indirect light all day,15.9,55.1,Chemical,9,Fungus gnats,High,54.1,Silty,2
Peperomia obtusifolia,15.71,44,4,Strong stem,397,5,6h full sun,21.8,46.1,Compost,17,None,Moderate,19.2,Silty,5
Sansevieria cylindrica,3.44,48,1,Strong stem,345,1,Low light corner,21.2,36.6,None,21,Spider mites,Low,52,Loamy,4
Schefflera arboricola,39.96,27,3,Leaf drop,83,3,Low light corner,20.2,48.8,None,82,Fungus gnats,None,16.1,Peaty,4
Aglaonema commutatum,29.57,44,0,None,401,5,3h direct morning sun,23.4,63.6,Compost,57,None,None,20.7,Silty,2
Sansevieria cylindrica,24.22,15,3,Strong stem,128,2,Indirect light all day,25.2,69.1,Compost,52,Fungus gnats,High,11.9,Sandy,2
Begonia maculata,21.54,12,5,New bud,285,4,Low light corner,26.1,56.5,Organic,0,Aphids,None,17,Silty,1
Dracaena trifasciata,38.97,33,9,Strong stem,432,6,6h full sun,24.7,59.5,None,87,Spider mites,None,55.9,Peaty,3
Ficus lyrata,55.87,34,3,Leaf drop,322,2,Low light corner,22,40,None,60,Aphids,Low,33,Clay,2
Ficus lyrata,29.49,14,0,Dark green color,210,1,Filtered sunlight through curtain,25.1,44.4,Compost,99,Whiteflies,None,13.9,Clay,3
Codiaeum variegatum,14.7,43,6,Leaf drop,224,6,6h full sun,24.4,38.1,Liquid feed,88,Spider mites,Low,58,Loamy,2
Tradescantia zebrina,23.46,32,1,Brittle leaves,415,2,6h full sun,26.8,42.5,Liquid feed,99,Aphids,High,53.9,Peaty,5
Begonia maculata,29.31,40,8,Leaf drop,357,2,Low light corner,26.3,41.2,Organic,30,Spider mites,Low,47.7,Sandy,5
Tradescantia zebrina,1.5,17,2,Yellowing leaves,423,2,3h direct morning sun,24.1,56,Liquid feed,30,None,Moderate,56.7,Peaty,1
Chlorophytum comosum,28.34,36,7,New bud,270,2,6h full sun,21.3,58.1,Liquid feed,65,Spider mites,Moderate,21,Sandy,1
Calathea orbifolia,29.36,40,7,None,58,6,Filtered sunlight through curtain,22,77.2,Liquid feed,18,Spider mites,High,51.8,Sandy,3
Monstera deliciosa,38.26,41,2,Yellowing leaves,338,1,3h direct morning sun,22.4,39.8,Chemical,52,None,None,44.5,Peaty,2
Aloe vera,37.22,30,3,Dark green color,493,5,3h direct morning sun,23.1,62.1,Organic,75,Aphids,Low,53.5,Chalky,4
Spathiphyllum wallisii,26.11,26,1,Wilting,162,3,3h direct morning sun,24.8,70.9,Compost,73,Spider mites,Moderate,49.8,Peaty,1
Calathea orbifolia,40.15,8,3,Dark green color,254,4,6h full sun,26.1,58,Liquid feed,94,Fungus gnats,Low,27.3,Sandy,4
Ficus lyrata,45.36,35,8,New bud,454,3,3h direct morning sun,23.8,42.8,Chemical,21,Spider mites,Moderate,48.7,Silty,4
Calathea orbifolia,25.28,22,1,Strong stem,235,3,Low light corner,24,43.1,Liquid feed,22,Aphids,Low,23.1,Clay,2
Tradescantia zebrina,29.18,42,2,Leaf drop,390,4,3h direct morning sun,24.4,32,Chemical,86,None,None,26.4,Clay,3
Anthurium andraeanum,7.33,28,3,Wilting,246,6,Filtered sunlight through curtain,22.5,45.3,Organic,14,Aphids,High,15.4,Loamy,2
Calathea orbifolia,10.49,27,4,New bud,315,1,Indirect light all day,21.2,67.2,Liquid feed,25,Whiteflies,None,56.8,Clay,1
Anthurium andraeanum,16.62,26,0,Yellowing leaves,311,4,Filtered sunlight through curtain,18.7,32.4,Chemical,2,Spider mites,Low,24.6,Chalky,4
Calathea orbifolia,20.56,6,6,Leaf drop,297,1,6h full sun,21.9,41,None,86,Spider mites,Moderate,36,Sandy,2
Dieffenbachia seguine,14.04,35,9,Dark green color,164,6,3h direct morning sun,25.4,65.3,None,19,None,Moderate,29.6,Peaty,2
Dracaena trifasciata,24.64,15,6,Yellowing leaves,170,3,3h direct morning sun,21.9,69.1,Chemical,39,Spider mites,High,58,Peaty,2
Monstera deliciosa,20.86,32,8,New bud,190,1,Low light corner,23.3,52.8,Liquid feed,38,Fungus gnats,None,26.8,Chalky,1
Spathiphyllum wallisii,35.71,36,3,New bud,114,6,3h direct morning sun,25.4,64.9,Liquid feed,71,Fungus gnats,None,48.9,Clay,3
Begonia maculata,20.25,9,5,Dark green color,325,6,Filtered sunlight through curtain,25.6,49.4,Organic,17,Aphids,None,52.8,Sandy,2
Dracaena trifasciata,2.13,42,1,Wilting,362,5,6h full sun,20.8,38,Organic,40,None,Moderate,31.8,Clay,1
Spathiphyllum wallisii,26.26,14,3,Dark green color,288,4,Indirect light all day,27,49.9,Compost,69,Whiteflies,High,28.9,Loamy,4
Codiaeum variegatum,24.86,44,1,Strong stem,351,5,3h direct morning sun,27.4,59,Organic,26,Aphids,Moderate,47.4,Clay,5
Spathiphyllum wallisii,16.38,28,9,Yellowing leaves,441,3,Indirect light all day,20.6,77.4,Liquid feed,99,None,None,55.6,Loamy,1
Monstera deliciosa,25.95,39,4,Wilting,59,4,3h direct morning sun,21.5,33.4,Compost,14,None,Low,47.7,Peaty,5
Aloe vera,14.25,48,6,Leaf drop,418,3,6h full sun,27.6,55.4,Organic,36,Aphids,Moderate,21.4,Sandy,2
Anthurium andraeanum,28.3,27,0,Brittle leaves,282,5,Filtered sunlight through curtain,23.6,46.4,Chemical,57,Aphids,High,54.4,Silty,2
Calathea orbifolia,51.33,21,9,Strong stem,244,6,6h full sun,17.3,55.4,None,4,Spider mites,None,29.4,Loamy,1
Codiaeum variegatum,6.94,5,9,Wilting,444,3,Indirect light all day,19.8,31.2,Organic,72,Whiteflies,Low,38.8,Clay,5
Anthurium andraeanum,19.84,35,6,Brittle leaves,61,4,3h direct morning sun,23.3,45.7,Organic,6,Fungus gnats,Moderate,51.6,Clay,2
Dieffenbachia seguine,18.23,35,9,Brittle leaves,443,4,Indirect light all day,20.5,71,Chemical,40,Spider mites,Low,19.4,Peaty,4
Ficus lyrata,20.67,46,5,Yellowing leaves,458,3,Filtered sunlight through curtain,22.8,57.7,Liquid feed,83,None,Low,49.2,Chalky,3
Zamioculcas zamiifolia,35.2,46,5,New bud,226,4,6h full sun,24.1,52.5,Chemical,9,Whiteflies,High,39.8,Silty,3
Peperomia obtusifolia,30.43,38,7,Leaf drop,226,6,Indirect light all day,28.4,44.3,Organic,61,Whiteflies,Moderate,54.7,Chalky,2
Ficus lyrata,33.49,13,7,Dark green color,266,6,Indirect light all day,23.1,44.9,Liquid feed,25,Aphids,High,18.6,Clay,5
Aglaonema commutatum,25.3,26,5,Yellowing leaves,60,4,Filtered sunlight through curtain,27.2,49.2,Compost,67,Whiteflies,None,31,Chalky,2
Zamioculcas zamiifolia,11.78,17,2,Strong stem,495,3,3h direct morning sun,28.3,71.8,Organic,23,Whiteflies,Low,51.6,Silty,5
Peperomia obtusifolia,13.85,29,4,None,167,5,Indirect light all day,28.3,78.4,Chemical,77,None,High,11,Silty,4
Codiaeum variegatum,32.46,22,1,Brittle leaves,213,4,Filtered sunlight through curtain,24.9,51.9,Compost,40,Spider mites,High,15.6,Sandy,5
Ficus lyrata,26.71,16,4,Strong stem,88,4,3h direct morning sun,18.1,49.7,None,64,Whiteflies,None,59.5,Chalky,2
Schefflera arboricola,37.6,44,8,Brittle leaves,102,4,3h direct morning sun,25.4,72.3,Compost,16,Aphids,Moderate,24,Sandy,4
Schefflera arboricola,27.93,21,9,New bud,267,4,6h full sun,27.1,51.3,Chemical,23,Spider mites,High,58.8,Clay,1
Epipremnum aureum,13.17,19,0,None,255,3,Filtered sunlight through curtain,23.8,57.6,Compost,26,Aphids,Low,19.1,Clay,3
Aglaonema commutatum,19.78,46,9,New bud,361,5,3h direct morning sun,29.2,41.5,Chemical,6,Whiteflies,Low,28.1,Clay,2
Spathiphyllum wallisii,30.65,19,4,Leaf drop,409,5,6h full sun,26.6,67.2,Organic,72,Spider mites,Low,47.6,Peaty,2
Dieffenbachia seguine,32.1,19,5,Dark green color,434,1,Low light corner,25.7,56.6,Liquid feed,98,Whiteflies,Low,42.9,Chalky,2
Epipremnum aureum,33.55,43,6,Leaf drop,105,4,Filtered sunlight through curtain,27.3,70.5,None,11,None,High,39.1,Loamy,4
Sansevieria cylindrica,14.51,17,8,New bud,167,4,Low light corner,25,69,Liquid feed,84,Spider mites,Low,36.5,Silty,1
Begonia maculata,12.99,21,5,New bud,437,1,3h direct morning sun,16.5,40.8,Liquid feed,2,Aphids,High,52.2,Loamy,5
Begonia maculata,23.1,36,4,Strong stem,302,5,Filtered sunlight through curtain,22.5,65.8,Liquid feed,78,None,Moderate,21.7,Clay,1
Philodendron hederaceum,39.4,13,6,New bud,335,2,6h full sun,27.6,70,Chemical,84,Fungus gnats,Low,32.1,Chalky,4
Monstera deliciosa,18.06,44,0,None,317,6,3h direct morning sun,21.6,47.3,Chemical,9,Aphids,Moderate,17.8,Sandy,2
Begonia maculata,29.55,24,4,None,340,2,Filtered sunlight through curtain,23.3,38.6,None,32,Whiteflies,High,39.8,Loamy,3
Calathea orbifolia,29.55,30,1,Wilting,382,5,Filtered sunlight through curtain,20.9,30.1,Chemical,45,Aphids,None,22.5,Clay,2
Epipremnum aureum,32.61,31,3,Brittle leaves,229,4,Low light corner,29.4,52.5,Chemical,58,Fungus gnats,Moderate,26.7,Loamy,5
Sansevieria cylindrica,41.64,25,6,Yellowing leaves,464,2,3h direct morning sun,29,47.6,Chemical,51,Aphids,Low,33.6,Loamy,3
Tradescantia zebrina,40.62,22,4,New bud,407,3,6h full sun,21.3,57.7,Chemical,5,None,None,11.3,Silty,2
Monstera deliciosa,19.05,17,5,Leaf drop,284,3,6h full sun,24.4,39.4,Organic,1,Aphids,Moderate,14.6,Loamy,3
Spathiphyllum wallisii,4.02,20,1,Dark green color,392,1,3h direct morning sun,22,73,None,28,Spider mites,High,44.3,Clay,1
Aglaonema commutatum,18.21,13,2,Brittle leaves,245,5,3h direct morning sun,25.8,42.9,Chemical,39,Fungus gnats,High,31.4,Silty,4
Chlorophytum comosum,25.76,16,6,Brittle leaves,357,5,Indirect light all day,25.5,41.3,None,96,Aphids,High,53.2,Clay,2
Monstera deliciosa,21.38,48,1,Dark green color,129,2,Low light corner,26.4,54,Compost,60,Fungus gnats,Moderate,44.7,Peaty,5
Tradescantia zebrina,44.68,42,5,Dark green color,184,4,3h direct morning sun,25,54.9,Organic,67,None,High,10.4,Peaty,1
Chlorophytum comosum,25.19,23,4,Brittle leaves,71,5,3h direct morning sun,32.8,40.8,Chemical,67,Spider mites,Moderate,40.8,Peaty,2
Peperomia obtusifolia,31.54,11,9,Wilting,380,2,Indirect light all day,20.9,43.6,Organic,28,Whiteflies,Low,14.7,Loamy,1
Aglaonema commutatum,27.17,39,0,Leaf drop,489,2,Indirect light all day,18.9,38.5,Organic,61,Aphids,Low,49,Chalky,5
Dracaena trifasciata,21.53,22,9,Wilting,274,6,Filtered sunlight through curtain,22.8,65.9,Compost,59,None,Moderate,59.6,Clay,2
Peperomia obtusifolia,5.75,20,3,New bud,107,6,6h full sun,19.3,68.5,None,83,Fungus gnats,Moderate,36.6,Peaty,5
Dieffenbachia seguine,24.21,43,1,Yellowing leaves,142,5,Low light corner,19.5,53.1,Organic,40,Fungus gnats,None,44.1,Chalky,3
Tradescantia zebrina,57.55,8,3,Dark green color,241,2,Filtered sunlight through curtain,21,65.7,Liquid feed,86,None,High,21.9,Peaty,5
Spathiphyllum wallisii,12.56,29,0,None,152,1,3h direct morning sun,21.2,66.8,Compost,81,Aphids,Low,31.9,Peaty,3
Begonia maculata,6.85,36,1,Leaf drop,445,1,Indirect light all day,21.1,36.9,Liquid feed,88,Whiteflies,Low,52.8,Chalky,2
Aloe vera,44.36,44,7,Dark green color,56,6,6h full sun,25.6,78.3,Compost,64,Aphids,None,18.4,Peaty,3
Aglaonema commutatum,32.42,17,5,Wilting,177,5,Filtered sunlight through curtain,22.5,71.1,Liquid feed,63,Spider mites,Moderate,23.3,Loamy,2
Dieffenbachia seguine,26.87,49,1,Strong stem,104,4,6h full sun,23.5,40.2,Liquid feed,78,Aphids,Moderate,32.3,Loamy,2
Anthurium andraeanum,38.63,21,5,New bud,280,1,Indirect light all day,26.7,39.3,Organic,62,Spider mites,None,45.6,Silty,4
Dieffenbachia seguine,16.68,41,9,Yellowing leaves,411,1,Filtered sunlight through curtain,21.7,36.3,Organic,97,Fungus gnats,High,28.8,Loamy,2
Tradescantia zebrina,23.93,10,8,New bud,111,6,Filtered sunlight through curtain,23.2,36.9,Compost,47,Spider mites,Moderate,56.4,Sandy,3
Peperomia obtusifolia,34.55,23,6,Strong stem,289,6,6h full sun,25.1,67.4,None,19,Whiteflies,Moderate,14.7,Silty,4
Peperomia obtusifolia,46.1,17,8,Yellowing leaves,139,5,Indirect light all day,18.2,53.5,Organic,36,None,High,28.5,Peaty,4
Dracaena trifasciata,13.31,30,4,Strong stem,281,6,3h direct morning sun,16.8,69.1,Organic,63,Spider mites,High,45.4,Sandy,2
Dieffenbachia seguine,37.81,18,6,New bud,282,3,Filtered sunlight through curtain,25,67.3,Chemical,90,Aphids,None,21.3,Clay,5
Codiaeum variegatum,28.82,35,6,Wilting,403,2,3h direct morning sun,25.5,60.2,Organic,85,Spider mites,None,42.8,Chalky,5
Peperomia obtusifolia,26.63,8,2,Brittle leaves,382,1,Indirect light all day,30.2,64.3,None,4,Fungus gnats,None,18.2,Clay,4
Dracaena trifasciata,24.92,43,6,New bud,488,3,Filtered sunlight through curtain,24.5,30.9,Chemical,33,Spider mites,Moderate,12.8,Sandy,2
Anthurium andraeanum,11.15,12,0,New bud,424,4,Filtered sunlight through curtain,26.5,45.6,Liquid feed,38,Whiteflies,None,16.1,Loamy,5
Codiaeum variegatum,34.63,29,8,New bud,341,3,3h direct morning sun,23.4,61.9,Liquid feed,66,Spider mites,Moderate,56.5,Peaty,2
Monstera deliciosa,17.18,17,9,Leaf drop,394,5,Low light corner,24.9,30.5,Chemical,80,Whiteflies,Low,37.6,Silty,2
Begonia maculata,14.2,36,5,Strong stem,201,4,3h direct morning sun,29,31.6,Chemical,61,Aphids,High,49.8,Peaty,4
Dracaena trifasciata,33.85,42,4,None,477,4,3h direct morning sun,17.6,72.6,Chemical,87,Fungus gnats,High,26.6,Loamy,4
Tradescantia zebrina,32.89,42,6,Strong stem,194,6,Low light corner,25.2,64.2,Compost,23,None,Low,39.6,Peaty,1
Nephrolepis exaltata,25.79,32,4,Dark green color,179,3,Indirect light all day,30.4,43.3,None,2,Aphids,None,34.7,Chalky,5
Begonia maculata,35.8,34,9,Strong stem,190,5,Indirect light all day,24.8,64.4,None,70,Aphids,Moderate,57.3,Chalky,5
Peperomia obtusifolia,39.26,7,4,Dark green color,464,1,Filtered sunlight through curtain,29,69.6,Liquid feed,88,None,Moderate,47.4,Chalky,5
Epipremnum aureum,38.08,32,9,Leaf drop,142,6,6h full sun,22.1,45.3,Liquid feed,66,Spider mites,Moderate,46.5,Clay,3
Sansevieria cylindrica,19.72,7,6,Wilting,163,3,6h full sun,23.9,31.8,Liquid feed,78,Spider mites,High,12.3,Loamy,2
Tradescantia zebrina,35.14,49,9,Dark green color,333,1,Filtered sunlight through curtain,24.1,76.6,Organic,92,Spider mites,None,37.5,Chalky,4
Philodendron hederaceum,27.12,38,6,New bud,493,3,6h full sun,17.3,47.3,Liquid feed,49,Fungus gnats,Moderate,33.3,Sandy,5
Dracaena trifasciata,42.26,20,2,Wilting,460,6,3h direct morning sun,20.5,35.3,Chemical,28,Aphids,Moderate,56.4,Chalky,1
Aloe vera,23.76,26,2,Brittle leaves,192,1,3h direct morning sun,20.7,54.6,Liquid feed,73,Whiteflies,Moderate,22.9,Silty,5
Monstera deliciosa,21.44,36,9,Leaf drop,272,6,Low light corner,26.5,68.4,Chemical,31,None,Low,23.5,Clay,2
Schefflera arboricola,18.86,42,2,Strong stem,281,3,Low light corner,26.6,41.1,Compost,86,Aphids,Moderate,30.6,Sandy,2
Anthurium andraeanum,26.89,12,5,Dark green color,82,4,Filtered sunlight through curtain,25,43.5,Organic,38,Spider mites,Low,22.2,Loamy,4
Dracaena trifasciata,29.67,12,5,None,325,2,Filtered sunlight through curtain,26.5,42.1,Organic,8,None,Moderate,16.5,Loamy,3
Dieffenbachia seguine,29.86,10,2,New bud,219,4,Filtered sunlight through curtain,23.5,79.6,None,13,Whiteflies,Moderate,52.9,Silty,4
Zamioculcas zamiifolia,28.49,18,2,Yellowing leaves,189,6,3h direct morning sun,27.6,39.9,Compost,67,Aphids,Moderate,37.9,Chalky,5
Aglaonema commutatum,31.71,36,7,Brittle leaves,406,6,6h full sun,24,58.8,Chemical,63,Aphids,Low,53.1,Sandy,1
Philodendron hederaceum,22.77,39,7,Yellowing leaves,250,6,Filtered sunlight through curtain,24.2,76.3,Compost,19,Fungus gnats,Moderate,51.6,Silty,4
Zamioculcas zamiifolia,16.27,14,6,Wilting,72,1,Filtered sunlight through curtain,23.2,37.3,Organic,27,Aphids,None,24.1,Sandy,3
Anthurium andraeanum,15.4,7,9,Strong stem,273,5,3h direct morning sun,26.1,78.5,Chemical,13,Aphids,Moderate,37.4,Chalky,4
Zamioculcas zamiifolia,34.75,16,3,None,417,6,3h direct morning sun,22.7,77.4,Compost,43,Whiteflies,Low,14.2,Chalky,2
Schefflera arboricola,29.7,35,3,Yellowing leaves,319,4,3h direct morning sun,26.9,74.2,Organic,97,Whiteflies,Low,55.8,Peaty,5
Philodendron hederaceum,6.44,33,2,Wilting,396,2,6h full sun,20.6,40.7,Chemical,76,None,None,30.2,Peaty,5
Philodendron hederaceum,35.97,9,4,Leaf drop,202,6,Filtered sunlight through curtain,20.7,61.7,Chemical,94,Spider mites,High,29.7,Chalky,5
Dracaena trifasciata,43.8,29,2,Wilting,382,6,Indirect light all day,26.1,68,Organic,96,Whiteflies,None,25.1,Clay,5
Nephrolepis exaltata,17.84,45,7,Brittle leaves,134,6,Indirect light all day,23.7,79.3,Chemical,38,None,None,33,Silty,5
Dracaena trifasciata,28.36,35,6,None,158,1,Filtered sunlight through curtain,22.6,39,Organic,27,Aphids,Low,22.6,Peaty,5
Zamioculcas zamiifolia,20.27,25,2,None,80,6,Filtered sunlight through curtain,26.7,68.3,Liquid feed,63,None,Moderate,28.7,Chalky,1
Ficus lyrata,31.28,24,8,Wilting,278,4,Filtered sunlight through curtain,22.2,46.9,Liquid feed,88,None,Moderate,50,Sandy,3
Aglaonema commutatum,13.34,43,4,Brittle leaves,289,3,Filtered sunlight through curtain,23.4,38.8,Chemical,31,None,High,51.7,Silty,5
Anthurium andraeanum,24.29,26,8,Wilting,427,5,6h full sun,28.2,51.1,Chemical,8,None,High,25.2,Peaty,3
Philodendron hederaceum,34.81,8,6,None,412,6,Indirect light all day,28.6,69.7,Organic,27,Whiteflies,High,33.5,Clay,5
Peperomia obtusifolia,37.36,17,6,None,359,1,Low light corner,28.7,53.2,Chemical,94,Spider mites,High,53.7,Silty,4
Anthurium andraeanum,29.26,49,5,New bud,438,4,Indirect light all day,23.2,56.9,None,16,None,None,12.6,Silty,5
Calathea orbifolia,21.61,46,1,Wilting,190,6,Indirect light all day,27.7,79.8,Liquid feed,86,Fungus gnats,None,54.5,Loamy,2
Calathea orbifolia,9.07,24,8,Dark green color,205,1,3h direct morning sun,21.2,50,Chemical,76,Aphids,Moderate,21,Sandy,1
Peperomia obtusifolia,17.42,17,5,Wilting,348,3,Filtered sunlight through curtain,21.3,60.8,Chemical,54,Aphids,None,43.9,Clay,4
Philodendron hederaceum,20.31,21,7,None,394,2,Filtered sunlight through curtain,16.9,48.3,Compost,9,Aphids,Moderate,39.1,Clay,4
Philodendron hederaceum,18.02,40,0,New bud,420,6,Filtered sunlight through curtain,29,49.6,Chemical,79,Aphids,Moderate,37.6,Clay,2
Sansevieria cylindrica,25.6,37,4,New bud,148,4,3h direct morning sun,21.4,64.8,None,5,Aphids,Moderate,53,Sandy,5
Tradescantia zebrina,21.58,5,0,Leaf drop,96,1,6h full sun,23.6,76.9,Liquid feed,47,None,Moderate,15.1,Clay,1
Schefflera arboricola,26.72,19,9,Brittle leaves,376,1,6h full sun,21.3,57.1,Compost,74,Spider mites,Low,27.4,Loamy,4
Chlorophytum comosum,37.03,17,7,Strong stem,471,6,Low light corner,26.1,68.4,Organic,66,Fungus gnats,Moderate,36.9,Peaty,1
Dracaena trifasciata,20.94,21,7,Yellowing leaves,116,1,6h full sun,22.9,34.5,Organic,91,Whiteflies,None,50.6,Sandy,4
Aloe vera,11.17,28,0,Yellowing leaves,111,2,6h full sun,20.1,40.6,Liquid feed,40,Fungus gnats,None,20.8,Clay,5
Codiaeum variegatum,17.98,12,8,Wilting,158,1,Filtered sunlight through curtain,25.3,55.1,Organic,78,Whiteflies,None,50.1,Chalky,4
Dracaena trifasciata,30.84,31,1,Leaf drop,216,5,Indirect light all day,19.7,31,None,59,Whiteflies,None,30,Peaty,4
Zamioculcas zamiifolia,31.78,49,8,Wilting,86,5,6h full sun,21.5,42.6,Chemical,76,Fungus gnats,Low,19.4,Silty,3
Philodendron hederaceum,29.06,27,0,Yellowing leaves,168,1,6h full sun,17.7,55.9,Liquid feed,41,None,High,47.9,Sandy,5
Aloe vera,38.01,12,9,Brittle leaves,135,6,3h direct morning sun,19.7,30.7,Compost,80,Aphids,High,14.5,Chalky,2
Codiaeum variegatum,23.14,12,8,None,431,5,Low light corner,24.5,43.2,Chemical,70,None,Moderate,35.7,Silty,2
Dracaena trifasciata,45.52,30,3,Brittle leaves,441,4,3h direct morning sun,18.1,55.7,Organic,27,Aphids,Moderate,13.2,Chalky,5
Philodendron hederaceum,33.18,17,8,Brittle leaves,101,5,Filtered sunlight through curtain,19.6,58.7,Organic,12,Spider mites,None,27.8,Clay,2
Ficus lyrata,-0.23,43,6,New bud,140,1,Indirect light all day,24,76.3,Compost,80,Whiteflies,None,40.1,Sandy,5
Aloe vera,43.01,41,5,None,338,6,Low light corner,22.4,62.3,None,14,Fungus gnats,High,37.8,Clay,2
Chlorophytum comosum,17.33,32,4,Strong stem,386,3,3h direct morning sun,30,50.7,Compost,35,Spider mites,High,30.2,Silty,3
Peperomia obtusifolia,14.66,29,8,None,347,6,6h full sun,29.5,76.5,Liquid feed,91,Aphids,None,31.5,Loamy,2
Schefflera arboricola,30.24,20,1,Leaf drop,253,6,6h full sun,21.4,69.2,Compost,14,None,Moderate,21.3,Chalky,4
Epipremnum aureum,7.62,6,1,New bud,417,6,Low light corner,25.7,40,Organic,74,Fungus gnats,Low,32.8,Loamy,5
Aglaonema commutatum,18.05,22,8,Strong stem,287,4,6h full sun,26.2,36.5,None,55,Whiteflies,Low,57.7,Silty,1
Monstera deliciosa,40.57,21,2,Leaf drop,431,2,3h direct morning sun,22.2,63.8,None,94,Spider mites,High,52.5,Clay,1
Ficus lyrata,30.56,34,7,Leaf drop,204,1,3h direct morning sun,19.5,58,Compost,3,Whiteflies,High,17.3,Peaty,5
Schefflera arboricola,33.12,43,8,Yellowing leaves,289,2,6h full sun,24,69.5,Liquid feed,98,Aphids,High,11.5,Chalky,3
Tradescantia zebrina,18.43,17,7,New bud,185,3,6h full sun,23.5,66.9,Organic,97,Whiteflies,Low,56.7,Peaty,2
Chlorophytum comosum,9.62,36,3,Leaf drop,456,2,Filtered sunlight through curtain,22.7,61.3,Chemical,51,None,Low,36.3,Sandy,3
Peperomia obtusifolia,32.07,33,0,Dark green color,411,1,Indirect light all day,25.3,79.3,None,90,Spider mites,None,36.9,Chalky,1
Epipremnum aureum,34.3,34,3,Brittle leaves,430,1,Low light corner,21.7,56.7,Compost,9,Spider mites,Moderate,49,Loamy,5
Zamioculcas zamiifolia,33.85,22,8,Leaf drop,418,3,3h direct morning sun,20.5,35.7,Liquid feed,93,None,High,25.7,Peaty,5
Dieffenbachia seguine,27.09,17,1,Strong stem,113,1,Low light corner,24.3,71.4,Liquid feed,44,Whiteflies,None,34.1,Silty,3
Philodendron hederaceum,15.33,47,2,Yellowing leaves,172,3,Filtered sunlight through curtain,25.2,42.6,Organic,83,None,Low,58.4,Sandy,3
Calathea orbifolia,49.38,25,9,Wilting,303,3,3h direct morning sun,20.5,68.9,None,28,Fungus gnats,None,43.6,Chalky,2
